Place Name,City,Location,Rating,Review Count,Popularity Score,Review
Ashtalakshmi Temple - 45 - 39,Chennai,"Chennai, Tamil Nadu, India",3.2,3288,80.44,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Arignar Anna Zoological Park - 18 - 21,Chennai,"Chennai, Tamil Nadu, India",4.7,3593,111.97,"Clean and peaceful, highly recommended."
Ripon Building - 2 - 29 - 12,Chennai,"Chennai, Tamil Nadu, India",4.6,617,95.08,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
National Art Gallery - 37 - 34,Chennai,"Chennai, Tamil Nadu, India",4.5,3927,109.64,Amazing place! Had a wonderful experience.
Chennai Rail Museum - 7 - 39,Chennai,"Chennai, Tamil Nadu, India",2.8,1043,61.22,Services need improvement.
Birla Planetarium - 45 - 13,Chennai,"Chennai, Tamil Nadu, India",3.1,2050,72.25,"Well maintained, great for tourists."
Lalbagh Botanical Garden,Bangalore,"Bangalore, Karnataka, India",2.8,3579,73.89,Services need improvement.
Cubbon Park,Bangalore,"Bangalore, Karnataka, India",3.2,2971,78.86,Disappointing experience!
Bangalore Palace,Bangalore,"Bangalore, Karnataka, India",3.7,4814,98.07,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Tipu Sultan's Summer Palace,Bangalore,"Bangalore, Karnataka, India",4.9,2244,109.22,Cleanliness could be better.
ISKCON Temple Bangalore,Bangalore,"Bangalore, Karnataka, India",3,2393,71.97,"Clean and peaceful, highly recommended."
Vidhana Soudha,Bangalore,"Bangalore, Karnataka, India",4.5,199,91,ಇದು ಒಳ್ಳೆಯ ಆಯ್ಕೆ!
Bannerghatta National Park,Bangalore,"Bangalore, Karnataka, India",4.3,4965,110.83,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Wonderla Amusement Park,Bangalore,"Bangalore, Karnataka, India",4.1,2100,92.5,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Nandi Hills,Bangalore,"Bangalore, Karnataka, India",4.1,1614,90.07,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Ulsoor Lake,Bangalore,"Bangalore, Karnataka, India",4.6,2768,105.84,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Commercial Street,Bangalore,"Bangalore, Karnataka, India",3.8,3783,94.91,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Phoenix Marketcity,Bangalore,"Bangalore, Karnataka, India",4.1,581,84.91,"Well maintained, great for tourists."
Orion Mall,Bangalore,"Bangalore, Karnataka, India",2.9,2369,69.84,"Not well maintained, needs improvement."
UB City,Bangalore,"Bangalore, Karnataka, India",3.7,2116,84.58,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Visvesvaraya Industrial and Technological Museum,Bangalore,"Bangalore, Karnataka, India",2.8,553,58.77,"Clean and peaceful, highly recommended."
Jawaharlal Nehru Planetarium,Bangalore,"Bangalore, Karnataka, India",3.9,2730,91.65,"Not well maintained, needs improvement."
M.G. Road,Bangalore,"Bangalore, Karnataka, India",4.4,4757,111.78,"Not well maintained, needs improvement."
Brigade Road,Bangalore,"Bangalore, Karnataka, India",2.8,719,59.59,ಇದು ಒಳ್ಳೆಯ ಆಯ್ಕೆ!
Chunchi Falls,Bangalore,"Bangalore, Karnataka, India",3.2,539,66.69,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
Ragigudda Anjaneya Temple,Bangalore,"Bangalore, Karnataka, India",4.2,3684,102.42,"Clean and peaceful, highly recommended."
Kudlu Falls,Bangalore,"Bangalore, Karnataka, India",4.3,178,86.89,Services need improvement.
Art Galleries at Karnataka Chitrakala Parishath,Bangalore,"Bangalore, Karnataka, India",4.3,4612,109.06,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
Innovative Film City,Bangalore,"Bangalore, Karnataka, India",3.3,3761,84.81,"Well maintained, great for tourists."
Lumbini Gardens,Bangalore,"Bangalore, Karnataka, India",3.5,4220,91.1,Services need improvement.
Shivoham Shiva Temple,Bangalore,"Bangalore, Karnataka, India",3.8,408,78.04,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Gavi Gangadhareshwara Temple,Bangalore,"Bangalore, Karnataka, India",4.2,315,85.58,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
St. Mary's Basilica,Bangalore,"Bangalore, Karnataka, India",4.2,684,87.42,ನೋಡಿದಂತೆ ಇಲ್ಲ!
HAL Aerospace Museum,Bangalore,"Bangalore, Karnataka, India",4.7,1273,100.36,"Beautiful ambiance, must-visit spot."
Sankey Tank,Bangalore,"Bangalore, Karnataka, India",4.4,4661,111.31,"Not well maintained, needs improvement."
Thottikallu Falls,Bangalore,"Bangalore, Karnataka, India",3.2,32,64.16,"ಹಳಿಯಾದ ಪರಿಸ್ಥಿತಿ, ತುಂಬಾ ಜನರು."
Hebbal Lake,Bangalore,"Bangalore, Karnataka, India",3.6,3775,90.88,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Bull Temple,Bangalore,"Bangalore, Karnataka, India",4.4,4737,111.69,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Dodda Alada Mara (Big Banyan Tree),Bangalore,"Bangalore, Karnataka, India",3.6,3270,88.35,"Clean and peaceful, highly recommended."
Wonderla Water Park,Bangalore,"Bangalore, Karnataka, India",3.4,338,69.69,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Snow City,Bangalore,"Bangalore, Karnataka, India",3.9,2848,92.24,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
Turahalli Forest,Bangalore,"Bangalore, Karnataka, India",3.3,1665,74.33,"Too crowded, didn't enjoy much."
Chikka Tirupati,Bangalore,"Bangalore, Karnataka, India",3.9,3346,94.73,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Kanva Reservoir,Bangalore,"Bangalore, Karnataka, India",4.5,2351,101.75,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Savandurga Hills,Bangalore,"Bangalore, Karnataka, India",4.2,4158,104.79,"Too crowded, didn't enjoy much."
Hesaraghatta Lake,Bangalore,"Bangalore, Karnataka, India",3.1,1669,70.34,"Clean and peaceful, highly recommended."
Janapada Loka,Bangalore,"Bangalore, Karnataka, India",4.2,3598,101.99,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Ramadevara Betta,Bangalore,"Bangalore, Karnataka, India",4.1,306,83.53,Services need improvement.
Muthyalamaduvu Falls,Bangalore,"Bangalore, Karnataka, India",3.1,1151,67.75,Services need improvement.
Bangalore Fort,Bangalore,"Bangalore, Karnataka, India",3,4651,83.25,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
VV Puram Food Street,Bangalore,"Bangalore, Karnataka, India",3.4,3161,83.81,Services need improvement.
National Gallery of Modern Art,Bangalore,"Bangalore, Karnataka, India",2.9,2153,68.77,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Malleswaram Market,Bangalore,"Bangalore, Karnataka, India",4.7,4675,117.38,"Clean and peaceful, highly recommended."
Lalbagh Glass House,Bangalore,"Bangalore, Karnataka, India",4.4,3721,106.61,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Jawaharlal Nehru Park,Bangalore,"Bangalore, Karnataka, India",2.7,3992,73.96,Disappointing experience!
JP Park,Bangalore,"Bangalore, Karnataka, India",3.8,476,78.38,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Freedom Park,Bangalore,"Bangalore, Karnataka, India",4.5,4426,112.13,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Karnataka High Court,Bangalore,"Bangalore, Karnataka, India",2.9,1010,63.05,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Visvesvaraya Industrial and Technological Museum - 19,Bangalore,"Bangalore, Karnataka, India",4.1,896,86.48,Services need improvement.
Art Galleries at Karnataka Chitrakala Parishath - 33,Bangalore,"Bangalore, Karnataka, India",2.5,2778,63.89,ಇದು ಒಳ್ಳೆಯ ಆಯ್ಕೆ!
Bangalore Fort - 33,Bangalore,"Bangalore, Karnataka, India",4.3,1527,93.64,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
Wonderla Water Park - 40,Bangalore,"Bangalore, Karnataka, India",3.5,24,70.12,Cleanliness could be better.
St. Mary's Basilica - 44,Bangalore,"Bangalore, Karnataka, India",4.2,720,87.6,"Well maintained, great for tourists."
HAL Aerospace Museum - 42,Bangalore,"Bangalore, Karnataka, India",3.9,312,79.56,"Well maintained, great for tourists."
Turahalli Forest - 1,Bangalore,"Bangalore, Karnataka, India",4.4,2441,100.2,Amazing place! Had a wonderful experience.
Dodda Alada Mara (Big Banyan Tree) - 24,Bangalore,"Bangalore, Karnataka, India",4.4,2739,101.69,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Lumbini Gardens - 22,Bangalore,"Bangalore, Karnataka, India",3.3,2919,80.59,"Not well maintained, needs improvement."
Lumbini Gardens - 22 - 40,Bangalore,"Bangalore, Karnataka, India",4.4,2049,98.25,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Lumbini Gardens - 50,Bangalore,"Bangalore, Karnataka, India",3.3,3566,83.83,"Clean and peaceful, highly recommended."
Turahalli Forest - 10,Bangalore,"Bangalore, Karnataka, India",4.6,964,96.82,"Not well maintained, needs improvement."
Innovative Film City - 31,Bangalore,"Bangalore, Karnataka, India",5,2639,113.19,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Commercial Street - 6,Bangalore,"Bangalore, Karnataka, India",3.3,1901,75.5,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Wonderla Water Park - 49,Bangalore,"Bangalore, Karnataka, India",2.6,583,54.91,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Lumbini Gardens - 19,Bangalore,"Bangalore, Karnataka, India",4.4,869,92.34,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Shivoham Shiva Temple - 11,Bangalore,"Bangalore, Karnataka, India",3.3,1304,72.52,ಇದು ಒಳ್ಳೆಯ ಆಯ್ಕೆ!
Innovative Film City - 25,Bangalore,"Bangalore, Karnataka, India",4.7,3276,110.38,"ಹಳಿಯಾದ ಪರಿಸ್ಥಿತಿ, ತುಂಬಾ ಜನರು."
M.G. Road - 6,Bangalore,"Bangalore, Karnataka, India",3.8,1554,83.77,"Clean and peaceful, highly recommended."
Innovative Film City - 31 - 11,Bangalore,"Bangalore, Karnataka, India",4.8,459,98.3,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
St. Mary's Basilica - 44 - 29,Bangalore,"Bangalore, Karnataka, India",3.2,1137,69.69,Perfect for a family outing!
Shivoham Shiva Temple - 43,Bangalore,"Bangalore, Karnataka, India",4.5,4216,111.08,Perfect for a family outing!
Visvesvaraya Industrial and Technological Museum - 17,Bangalore,"Bangalore, Karnataka, India",4.7,460,96.3,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Savandurga Hills - 43,Bangalore,"Bangalore, Karnataka, India",4,2304,91.52,"Too crowded, didn't enjoy much."
Dodda Alada Mara (Big Banyan Tree) - 24 - 31,Bangalore,"Bangalore, Karnataka, India",3.8,3331,92.66,Perfect for a family outing!
St. Mary's Basilica - 44 - 6,Bangalore,"Bangalore, Karnataka, India",3.5,3814,89.07,"ಹಳಿಯಾದ ಪರಿಸ್ಥಿತಿ, ತುಂಬಾ ಜನರು."
Shivoham Shiva Temple - 43 - 38,Bangalore,"Bangalore, Karnataka, India",4,4046,100.23,Services need improvement.
Chunchi Falls - 25,Bangalore,"Bangalore, Karnataka, India",4.7,2184,104.92,"Too crowded, didn't enjoy much."
Janapada Loka - 9,Bangalore,"Bangalore, Karnataka, India",3.3,2541,78.7,"Beautiful ambiance, must-visit spot."
Jawaharlal Nehru Park - 27,Bangalore,"Bangalore, Karnataka, India",4.2,2161,94.81,Cleanliness could be better.
Thottikallu Falls - 27,Bangalore,"Bangalore, Karnataka, India",3.4,4028,88.14,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Wonderla Water Park - 49 - 44,Bangalore,"Bangalore, Karnataka, India",2.6,2806,66.03,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Wonderla Water Park - 49 - 23,Bangalore,"Bangalore, Karnataka, India",3.4,1892,77.46,Amazing place! Had a wonderful experience.
Lumbini Gardens - 19 - 5,Bangalore,"Bangalore, Karnataka, India",3.8,2757,89.78,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
Turahalli Forest - 48,Bangalore,"Bangalore, Karnataka, India",3.4,4537,90.69,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Chunchi Falls - 5,Bangalore,"Bangalore, Karnataka, India",4.3,2004,96.02,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Art Galleries at Karnataka Chitrakala Parishath - 33 - 42,Bangalore,"Bangalore, Karnataka, India",4,281,81.41,"Not well maintained, needs improvement."
Chikka Tirupati - 41,Bangalore,"Bangalore, Karnataka, India",3.5,3412,87.06,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Wonderla Water Park - 49 - 23 - 27,Bangalore,"Bangalore, Karnataka, India",3.6,3946,91.73,Amazing place! Had a wonderful experience.
National Gallery of Modern Art - 37,Bangalore,"Bangalore, Karnataka, India",3.3,2636,79.18,ನೋಡಿದಂತೆ ಇಲ್ಲ!
JP Park - 29,Bangalore,"Bangalore, Karnataka, India",4.1,4090,102.45,"Well maintained, great for tourists."
Chunchi Falls - 5 - 50,Bangalore,"Bangalore, Karnataka, India",4.7,4089,114.44,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Innovative Film City - 31 - 11 - 40,Bangalore,"Bangalore, Karnataka, India",3.7,3710,92.55,"Well maintained, great for tourists."
Ragigudda Anjaneya Temple - 9,Bangalore,"Bangalore, Karnataka, India",3.7,4321,95.61,Disappointing experience!
Bangalore Palace - 38,Bangalore,"Bangalore, Karnataka, India",3.4,951,72.75,"Too crowded, didn't enjoy much."
Tipu Sultan's Summer Palace - 5,Bangalore,"Bangalore, Karnataka, India",4.5,1797,98.98,"Too crowded, didn't enjoy much."
Lumbini Gardens - 22 - 40 - 13,Bangalore,"Bangalore, Karnataka, India",4.7,4438,116.19,Perfect for a family outing!
St. Mary's Basilica - 4,Bangalore,"Bangalore, Karnataka, India",3.1,96,62.48,"ಸುಂದರ ವಾತಾವರಣ, ಮರೆಯಲಾಗದ ಅನುಭವ."
UB City - 45,Bangalore,"Bangalore, Karnataka, India",4.5,3410,107.05,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Freedom Park - 18,Bangalore,"Bangalore, Karnataka, India",2.6,4912,76.56,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Wonderla Water Park - 40 - 50,Bangalore,"Bangalore, Karnataka, India",4.5,1448,97.24,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Commercial Street - 26,Bangalore,"Bangalore, Karnataka, India",4.3,4215,107.08,"Clean and peaceful, highly recommended."
Thottikallu Falls - 27 - 45,Bangalore,"Bangalore, Karnataka, India",5,3744,118.72,Perfect for a family outing!
St. Mary's Basilica - 44 - 29 - 31,Bangalore,"Bangalore, Karnataka, India",2.6,2615,65.08,Amazing place! Had a wonderful experience.
ISKCON Temple Bangalore - 13,Bangalore,"Bangalore, Karnataka, India",3,3914,79.57,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Innovative Film City - 25 - 46,Bangalore,"Bangalore, Karnataka, India",4.6,4414,114.07,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
St. Mary's Basilica - 4 - 3,Bangalore,"Bangalore, Karnataka, India",3.2,4087,84.44,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
St. Mary's Basilica - 44 - 6 - 46,Bangalore,"Bangalore, Karnataka, India",3.4,618,71.09,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Commercial Street - 38,Bangalore,"Bangalore, Karnataka, India",4.5,166,90.83,"Too crowded, didn't enjoy much."
Visvesvaraya Industrial and Technological Museum - 19 - 43,Bangalore,"Bangalore, Karnataka, India",3,4629,83.14,ನೋಡಿದಂತೆ ಇಲ್ಲ!
ISKCON Temple Bangalore - 2,Bangalore,"Bangalore, Karnataka, India",3.3,4858,90.29,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Visvesvaraya Industrial and Technological Museum - 19 - 34,Bangalore,"Bangalore, Karnataka, India",3.9,4472,100.36,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Turahalli Forest - 1 - 19,Bangalore,"Bangalore, Karnataka, India",5,250,101.25,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Janapada Loka - 43,Bangalore,"Bangalore, Karnataka, India",2.9,773,61.87,"ಹಳಿಯಾದ ಪರಿಸ್ಥಿತಿ, ತುಂಬಾ ಜನರು."
Lumbini Gardens - 22 - 40 - 13 - 9,Bangalore,"Bangalore, Karnataka, India",3.3,4008,86.04,Amazing place! Had a wonderful experience.
Hebbal Lake - 15,Bangalore,"Bangalore, Karnataka, India",3.8,1719,84.59,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Innovative Film City - 31 - 10,Bangalore,"Bangalore, Karnataka, India",3.3,3781,84.91,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
St. Mary's Basilica - 4 - 46,Bangalore,"Bangalore, Karnataka, India",3.2,4318,85.59,Cleanliness could be better.
Innovative Film City - 25 - 46 - 30,Bangalore,"Bangalore, Karnataka, India",4.3,2568,98.84,Services need improvement.
St. Mary's Basilica - 4 - 3 - 3,Bangalore,"Bangalore, Karnataka, India",2.8,2545,68.72,Cleanliness could be better.
Innovative Film City - 27,Bangalore,"Bangalore, Karnataka, India",3.8,386,77.93,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Shivoham Shiva Temple - 11 - 29,Bangalore,"Bangalore, Karnataka, India",4.6,4880,116.4,Disappointing experience!
Shivoham Shiva Temple - 11 - 29 - 18,Bangalore,"Bangalore, Karnataka, India",4.6,4978,116.89,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Lumbini Gardens - 9,Bangalore,"Bangalore, Karnataka, India",4.7,695,97.47,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Turahalli Forest - 10 - 36,Bangalore,"Bangalore, Karnataka, India",4.1,2018,92.09,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Wonderla Water Park - 49 - 23 - 11,Bangalore,"Bangalore, Karnataka, India",2.5,4986,74.93,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Tipu Sultan's Summer Palace - 5 - 8,Bangalore,"Bangalore, Karnataka, India",3.7,4855,98.28,"ಹಳಿಯಾದ ಪರಿಸ್ಥಿತಿ, ತುಂಬಾ ಜನರು."
Chunchi Falls - 5 - 11,Bangalore,"Bangalore, Karnataka, India",2.7,2357,65.78,"Not well maintained, needs improvement."
Turahalli Forest - 1 - 5,Bangalore,"Bangalore, Karnataka, India",3.5,842,74.21,Disappointing experience!
Karnataka High Court - 37,Bangalore,"Bangalore, Karnataka, India",2.5,4675,73.38,"Beautiful ambiance, must-visit spot."
Visvesvaraya Industrial and Technological Museum - 46,Bangalore,"Bangalore, Karnataka, India",2.9,1877,67.39,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Commercial Street - 38 - 24,Bangalore,"Bangalore, Karnataka, India",3.5,2741,83.7,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
JP Park - 29 - 43,Bangalore,"Bangalore, Karnataka, India",3.5,1093,75.47,"Clean and peaceful, highly recommended."
Hebbal Lake - 14,Bangalore,"Bangalore, Karnataka, India",3.3,4352,87.76,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Hebbal Lake - 38,Bangalore,"Bangalore, Karnataka, India",3.3,4852,90.26,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Lumbini Gardens - 50 - 44,Bangalore,"Bangalore, Karnataka, India",2.7,325,55.62,ನೋಡಿದಂತೆ ಇಲ್ಲ!
Commercial Street - 38 - 40,Bangalore,"Bangalore, Karnataka, India",4.2,2102,94.51,"Beautiful ambiance, must-visit spot."
Gavi Gangadhareshwara Temple - 20,Bangalore,"Bangalore, Karnataka, India",4.2,717,87.58,Services need improvement.
Tipu Sultan's Summer Palace - 14,Bangalore,"Bangalore, Karnataka, India",3.6,3443,89.22,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Turahalli Forest - 48 - 49,Bangalore,"Bangalore, Karnataka, India",3.7,1606,82.03,"Too crowded, didn't enjoy much."
Tipu Sultan's Summer Palace - 14 - 47,Bangalore,"Bangalore, Karnataka, India",3.2,4955,88.78,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
M.G. Road - 31,Bangalore,"Bangalore, Karnataka, India",3.5,3919,89.59,Cleanliness could be better.
Turahalli Forest - 48 - 49 - 3,Bangalore,"Bangalore, Karnataka, India",2.5,890,54.45,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Freedom Park - 18 - 15,Bangalore,"Bangalore, Karnataka, India",4.4,2655,101.28,Services need improvement.
UB City - 45 - 24,Bangalore,"Bangalore, Karnataka, India",2.9,2061,68.31,"Well maintained, great for tourists."
Chunchi Falls - 5 - 16,Bangalore,"Bangalore, Karnataka, India",4.9,2133,108.66,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Shivoham Shiva Temple - 11 - 43,Bangalore,"Bangalore, Karnataka, India",4,3994,99.97,"Well maintained, great for tourists."
Shivoham Shiva Temple - 11 - 29 - 18 - 49,Bangalore,"Bangalore, Karnataka, India",4.7,281,95.41,Perfect for a family outing!
Gavi Gangadhareshwara Temple - 20 - 7,Bangalore,"Bangalore, Karnataka, India",4.2,2377,95.89,"Not well maintained, needs improvement."
Commercial Street - 38 - 6,Bangalore,"Bangalore, Karnataka, India",3.8,4947,100.73,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
Turahalli Forest - 48 - 49 - 36,Bangalore,"Bangalore, Karnataka, India",3.2,125,64.62,Amazing place! Had a wonderful experience.
Thottikallu Falls - 27 - 45 - 47,Bangalore,"Bangalore, Karnataka, India",3.8,453,78.27,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Freedom Park - 18 - 38,Bangalore,"Bangalore, Karnataka, India",4.8,3611,114.06,"ನೇರವಾಗಿಲ್ಲ, ನಿರ್ವಹಣೆ ಅಗತ್ಯ."
Lalbagh Glass House - 7,Bangalore,"Bangalore, Karnataka, India",4.3,2913,100.56,Perfect for a family outing!
M.G. Road - 31 - 31,Bangalore,"Bangalore, Karnataka, India",2.8,674,59.37,"Beautiful ambiance, must-visit spot."
Janapada Loka - 14,Bangalore,"Bangalore, Karnataka, India",3.3,3510,83.55,"Too crowded, didn't enjoy much."
Bangalore Fort - 34,Bangalore,"Bangalore, Karnataka, India",3.2,1956,73.78,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Turahalli Forest - 1 - 8,Bangalore,"Bangalore, Karnataka, India",3.7,3526,91.63,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
Shivoham Shiva Temple - 11 - 29 - 1,Bangalore,"Bangalore, Karnataka, India",4.3,4923,110.61,"ಸ್ವಚ್ಛ ಮತ್ತು ಶಾಂತ, ಖಂಡಿತಾ ಶಿಫಾರಸು ಮಾಡಬಹುದು."
St. Mary's Basilica - 4 - 46 - 2,Bangalore,"Bangalore, Karnataka, India",2.9,4970,82.85,ಸೇವೆಗಳು ಸುಧಾರಿಸಲು ಬೇಕು.
Vidhana Soudha - 19,Bangalore,"Bangalore, Karnataka, India",4.2,1397,90.98,"ಉತ್ತಮ ನಿರ್ವಹಣೆ, ಕುಟುಂಬದೊಂದಿಗೆ ಹೋಗಲು ಉತ್ತಮ ಸ್ಥಳ."
Jawaharlal Nehru Park - 22,Bangalore,"Bangalore, Karnataka, India",3.8,3158,91.79,ಸ್ವಚ್ಛತೆ ಹೀಗಾಗಿಲ್ಲ.
Innovative Film City - 31 - 17,Bangalore,"Bangalore, Karnataka, India",3,1348,66.74,ಅತ್ಯುತ್ತಮ ಸ್ಥಳ! ತುಂಬಾ ಖುಷಿಯಾಯಿತು.
